,confirmed,newlyconfirmed,date
2020-01-22,0,0.0,2020-01-22
2020-01-23,0,0.0,2020-01-23
2020-01-24,0,0.0,2020-01-24
2020-01-25,0,0.0,2020-01-25
2020-01-26,0,0.0,2020-01-26
2020-01-27,0,0.0,2020-01-27
2020-01-28,0,0.0,2020-01-28
2020-01-29,0,0.0,2020-01-29
2020-01-30,0,0.0,2020-01-30
2020-01-31,0,0.0,2020-01-31
2020-02-01,0,0.0,2020-02-01
2020-02-02,0,0.0,2020-02-02
2020-02-03,0,0.0,2020-02-03
2020-02-04,0,0.0,2020-02-04
2020-02-05,0,0.0,2020-02-05
2020-02-06,0,0.0,2020-02-06
2020-02-07,0,0.0,2020-02-07
2020-02-08,0,0.0,2020-02-08
2020-02-09,0,0.0,2020-02-09
2020-02-10,0,0.0,2020-02-10
2020-02-11,0,0.0,2020-02-11
2020-02-12,0,0.0,2020-02-12
2020-02-13,0,0.0,2020-02-13
2020-02-14,0,0.0,2020-02-14
2020-02-15,0,0.0,2020-02-15
2020-02-16,0,0.0,2020-02-16
2020-02-17,0,0.0,2020-02-17
2020-02-18,0,0.0,2020-02-18
2020-02-19,0,0.0,2020-02-19
2020-02-20,0,0.0,2020-02-20
2020-02-21,0,0.0,2020-02-21
2020-02-22,0,0.0,2020-02-22
2020-02-23,0,0.0,2020-02-23
2020-02-24,0,0.0,2020-02-24
2020-02-25,0,0.0,2020-02-25
2020-02-26,0,0.0,2020-02-26
2020-02-27,0,0.0,2020-02-27
2020-02-28,0,0.0,2020-02-28
2020-02-29,0,0.0,2020-02-29
2020-03-01,0,0.0,2020-03-01
2020-03-02,0,0.0,2020-03-02
2020-03-03,0,0.0,2020-03-03
2020-03-04,0,0.0,2020-03-04
2020-03-05,0,0.0,2020-03-05
2020-03-06,0,0.0,2020-03-06
2020-03-07,0,0.0,2020-03-07
2020-03-08,0,0.0,2020-03-08
2020-03-09,0,0.0,2020-03-09
2020-03-10,0,0.0,2020-03-10
2020-03-11,0,0.0,2020-03-11
2020-03-12,0,0.0,2020-03-12
2020-03-13,0,0.0,2020-03-13
2020-03-14,0,0.0,2020-03-14
2020-03-15,0,0.0,2020-03-15
2020-03-16,0,0.0,2020-03-16
2020-03-17,2,2.0,2020-03-17
2020-03-18,4,2.0,2020-03-18
2020-03-19,4,0.0,2020-03-19
2020-03-20,4,0.0,2020-03-20
2020-03-21,5,1.0,2020-03-21
2020-03-22,6,1.0,2020-03-22
2020-03-23,7,1.0,2020-03-23
2020-03-24,8,1.0,2020-03-24
2020-03-25,12,4.0,2020-03-25
2020-03-26,15,3.0,2020-03-26
2020-03-27,18,3.0,2020-03-27
2020-03-28,19,1.0,2020-03-28
2020-03-29,19,0.0,2020-03-29
2020-03-30,20,1.0,2020-03-30
2020-03-31,27,7.0,2020-03-31
2020-04-01,35,8.0,2020-04-01
2020-04-02,37,2.0,2020-04-02
2020-04-03,40,3.0,2020-04-03
2020-04-04,42,2.0,2020-04-04
2020-04-05,44,2.0,2020-04-05
2020-04-06,45,1.0,2020-04-06
2020-04-07,48,3.0,2020-04-07
2020-04-08,53,5.0,2020-04-08
2020-04-09,54,1.0,2020-04-09
2020-04-10,58,4.0,2020-04-10
2020-04-11,58,0.0,2020-04-11
2020-04-12,58,0.0,2020-04-12
2020-04-13,60,2.0,2020-04-13
2020-04-14,62,2.0,2020-04-14
2020-04-15,64,2.0,2020-04-15
2020-04-16,67,3.0,2020-04-16
2020-04-17,69,2.0,2020-04-17
2020-04-18,70,1.0,2020-04-18
2020-04-19,71,1.0,2020-04-19
2020-04-20,73,2.0,2020-04-20
2020-04-21,76,3.0,2020-04-21
2020-04-22,78,2.0,2020-04-22
2020-04-23,81,3.0,2020-04-23
2020-04-24,83,2.0,2020-04-24
2020-04-25,85,2.0,2020-04-25
2020-04-26,85,0.0,2020-04-26
2020-04-27,89,4.0,2020-04-27
2020-04-28,92,3.0,2020-04-28
2020-04-29,96,4.0,2020-04-29
2020-04-30,98,2.0,2020-04-30
2020-05-01,98,0.0,2020-05-01
2020-05-02,99,1.0,2020-05-02
2020-05-03,101,2.0,2020-05-03
2020-05-04,104,3.0,2020-05-04
2020-05-05,108,4.0,2020-05-05
2020-05-06,109,1.0,2020-05-06
2020-05-07,109,0.0,2020-05-07
2020-05-08,109,0.0,2020-05-08
2020-05-09,109,0.0,2020-05-09
2020-05-10,110,1.0,2020-05-10
2020-05-11,111,1.0,2020-05-11
2020-05-12,111,0.0,2020-05-12
2020-05-13,112,1.0,2020-05-13
2020-05-14,112,0.0,2020-05-14
2020-05-15,116,4.0,2020-05-15
2020-05-16,119,3.0,2020-05-16
2020-05-17,119,0.0,2020-05-17
2020-05-18,119,0.0,2020-05-18
2020-05-19,182,63.0,2020-05-19
2020-05-20,182,0.0,2020-05-20
2020-05-21,182,0.0,2020-05-21
2020-05-22,182,0.0,2020-05-22
2020-05-23,182,0.0,2020-05-23
2020-05-24,182,0.0,2020-05-24
2020-05-25,183,1.0,2020-05-25
2020-05-26,183,0.0,2020-05-26
2020-05-27,185,2.0,2020-05-27
2020-05-28,188,3.0,2020-05-28
2020-05-29,188,0.0,2020-05-29
2020-05-30,188,0.0,2020-05-30
2020-05-31,188,0.0,2020-05-31
2020-06-01,188,0.0,2020-06-01
2020-06-02,188,0.0,2020-06-02
2020-06-03,188,0.0,2020-06-03
2020-06-04,188,0.0,2020-06-04
2020-06-05,188,0.0,2020-06-05
2020-06-06,188,0.0,2020-06-06
2020-06-07,188,0.0,2020-06-07
2020-06-08,188,0.0,2020-06-08
2020-06-09,188,0.0,2020-06-09
2020-06-10,188,0.0,2020-06-10
2020-06-11,188,0.0,2020-06-11
2020-06-12,191,3.0,2020-06-12
2020-06-13,195,4.0,2020-06-13
2020-06-14,195,0.0,2020-06-14
2020-06-15,196,1.0,2020-06-15
2020-06-16,196,0.0,2020-06-16
2020-06-17,197,1.0,2020-06-17
2020-06-18,203,6.0,2020-06-18
2020-06-19,204,1.0,2020-06-19
2020-06-20,204,0.0,2020-06-20
2020-06-21,204,0.0,2020-06-21
2020-06-22,211,7.0,2020-06-22
2020-06-23,215,4.0,2020-06-23
2020-06-24,219,4.0,2020-06-24
2020-06-25,225,6.0,2020-06-25
2020-06-26,240,15.0,2020-06-26
2020-06-27,246,6.0,2020-06-27
2020-06-28,250,4.0,2020-06-28
2020-06-29,256,6.0,2020-06-29
2020-06-30,261,5.0,2020-06-30
2020-07-01,270,9.0,2020-07-01
2020-07-02,282,12.0,2020-07-02
2020-07-03,286,4.0,2020-07-03
2020-07-04,287,1.0,2020-07-04
2020-07-05,288,1.0,2020-07-05
2020-07-06,292,4.0,2020-07-06
2020-07-07,298,6.0,2020-07-07
2020-07-08,302,4.0,2020-07-08
2020-07-09,307,5.0,2020-07-09
2020-07-10,310,3.0,2020-07-10
2020-07-11,323,13.0,2020-07-11
2020-07-12,329,6.0,2020-07-12
2020-07-13,338,9.0,2020-07-13
2020-07-14,352,14.0,2020-07-14
2020-07-15,357,5.0,2020-07-15
2020-07-16,359,2.0,2020-07-16
2020-07-17,367,8.0,2020-07-17
2020-07-18,372,5.0,2020-07-18
2020-07-19,373,1.0,2020-07-19
2020-07-20,383,10.0,2020-07-20
2020-07-21,388,5.0,2020-07-21
2020-07-22,392,4.0,2020-07-22
